# This data file is derived from:
# Peter M. Blau, Otis Dudley Duncan, David L. Featherman, and Robert M. Hauser. 
# OCCUPATIONAL CHANGES IN A GENERATION 1962 AND 1973 [Computer File].
# Madison, WI: University of Wisconsin [producer], 1983.
# Ann Arbor, MI: Inter-university Consortium for Political and Social Research
#  [distributor], 1994.

# the first value in each row is the case number, 1 to 20,700
# missing values are encoded as NA
# scaled.weight = 0.62*weight/mean(weight) where 0.62 is the design effect
#   for the survey

# for the definitions of the other variables, see the on-line supplemental
# Chapter 26 to Fox, Applied Regression Analysis and Generalized Linear Models,
# Third Edition.

education.father ses.father education ses.first ses age race weight scaled.weight
98 1 84 6 39 65 52 white 1.75734 0.501376060077272
99 NA NA 4 44 32 23 white 1.74273 0.497207769229896
100 7 78 7 70 65 45 white 3.5472 1.01203020491544
101 2 NA 7 11 19 22 white 1.981 0.565187143644984
102 7 61 7 51 51 24 white 1.981 0.565187143644984
103 6 84 7 44 45 26 white 2.20163 0.628133756215602
104 3 14 5 39 49 53 white 1.60141 0.456888613682238
105 3 23 8 61 78 34 white 1.71056 0.488029540854803
106 3 16 5 33 24 27 white 2.20163 0.628133756215602
107 5 79 7 NA 16 58 white 1.81943 0.519090582918725
108 7 44 6 50 50 29 white 1.71103 0.488163633715738
109 5 18 7 44 61 27 other 1.37825 0.393220182094245
110 5 84 7 72 44 33 white 1.73711 0.495604360977859
111 3 NA 6 44 82 40 white 1.6415 0.468326449416073
112 5 39 7 84 84 36 white 1.69877 0.484665807173039
113 8 84 7 44 44 41 white 1.65873 0.473242236637175
114 5 34 8 72 52 34 white 1.6298 0.464988393090659
115 2 36 7 82 44 56 white 1.6188 0.46185004953685
116 NA NA 1 6 34 43 white 1.68284 0.480120915099205
117 7 72 8 84 67 61 white 1.82108 0.519561334451796
118 3 8 6 28 61 49 white 1.95338 0.55730704828533
119 2 19 4 9 19 46 white 1.95338 0.55730704828533
120 1 22 6 44 44 51 white 1.73222 0.494209224616211
121 3 46 4 16 27 46 white 1.85005 0.52782659015669
122 3 14 3 14 7 51 white 1.73119 0.493915361537991
123 2 3 6 44 28 59 negro 1.65535 0.472277909254278
124 1 NA 1 17 4 64 negro 1.78252 0.5085600137759
125 NA 14 2 17 32 45 negro 1.75284 0.500092192259805
126 1 17 1 11 8 43 white 1.60628 0.458278043964697
127 2 32 3 15 16 38 negro 1.88931 0.539027623604192
128 1 NA 1 6 7 51 negro 1.75006 0.49929904725257
129 5 40 7 44 61 53 white 1.73222 0.494209224616211
130 3 14 5 14 29 54 white 1.73119 0.493915361537991
131 2 14 5 39 59 59 white 1.58575 0.452420753677453
132 NA NA 0 28 10 59 negro 1.23257 0.351657101283442
133 2 15 5 8 19 29 negro 1.40819 0.401762182639793
134 NA NA 3 16 18 55 negro 3.03465 0.865797660505932
135 2 8 4 52 7 30 negro 7.02812 2.00515046339939
136 2 51 5 32 16 52 negro 2.17074 0.619320716908588
137 3 14 3 17 4 49 negro 3.84561 1.09716775945108
138 NA 51 4 50 NA 60 white 1.71103 0.488163633715738
139 NA 22 2 9 10 43 white 1.73636 0.495390383008281
140 2 37 6 10 NA 47 other 1.65552 0.472326410927382
141 2 8 2 15 NA 62 white 1.71103 0.488163633715738
142 2 19 4 28 22 38 negro 1.62122 0.462540485118688
143 8 78 8 39 93 38 white 7.67613 2.19003028215425
144 4 65 8 93 93 30 white 2.02803 0.578604988857313
145 5 61 7 22 79 38 white 1.69188 0.482700062892517
146 2 14 3 28 49 36 white 1.81722 0.518460061168369
147 1 NA 3 44 7 34 white 8.55653 2.44121188804271
148 2 17 4 28 44 26 white 1.64561 0.46949904868936
149 0 32 3 17 15 26 white 7.65915 2.18518582092301
150 0 NA 5 44 19 26 white 6.95253 1.98358433710553
151 1 3 4 4 18 45 negro 6.77361 1.93253775268304
152 4 NA 4 10 53 42 negro 6.23042 1.77756349495638
153 2 22 4 22 19 28 negro 7.44865 2.12512933746149
154 2 14 4 17 4 63 negro 1.35741 0.387274447579575
155 2 4 4 11 19 41 negro 2.57981 0.736030007595541
156 5 49 6 36 65 46 white 1.7046 0.486329129256557
157 4 39 8 65 80 32 white 1.6987 0.484645835895878
158 5 37 5 44 67 25 other 1.76416 0.503321833080634
159 0 8 7 82 82 44 white 1.55602 0.443938666963386
160 3 65 6 61 10 42 white 1.58244 0.451476397571716
161 NA NA 4 32 36 50 white 7.00839 1.99952141627969
162 4 23 4 39 33 49 white 1.7046 0.486329129256557
163 3 65 8 93 93 28 white 1.47116 0.41972777296555
164 8 96 5 48 48 55 white 1.61114 0.459664621207562
165 7 93 7 59 85 38 white 1.57399 0.449065579114472
166 5 14 1 16 NA 62 negro 8.61527 2.45797064262005
167 1 NA 4 NA 16 32 negro 4.84095 1.38114220243725
168 7 NA 6 39 15 46 negro 6.52555 1.86176525250506
169 5 22 8 96 96 64 white 1.65882 0.473267913993525
170 5 43 7 82 71 47 white 1.65988 0.473570336190528
171 NA 59 6 72 65 63 white 6.79182 1.93773313778439
172 NA 23 4 39 33 24 white 6.44779 1.83958001661923
173 1 6 5 44 27 39 white 1.51616 0.432566451140222
174 NA 17 2 17 14 33 white 1.6987 0.484645835895878
175 NA 29 4 28 39 44 white 1.59094 0.453901481226931
176 0 NA 4 6 11 37 white 6.8635 1.95818372559684
177 4 NA 5 44 44 59 white 1.80411 0.514719726260148
178 3 16 2 12 9 52 white 1.90085 0.542320031296097
179 4 44 2 31 29 22 white 7.52616 2.14724324735746
180 6 72 5 NA 16 25 white 1.60376 0.457559077986916
181 NA 23 4 10 17 54 white 8.02582 2.28979822372983
182 3 84 5 51 51 30 white 1.6987 0.484645835895878
183 5 14 6 70 62 30 white 1.69746 0.484292058986176
184 5 49 7 81 85 49 white 1.64104 0.468195209594732
185 7 85 8 84 84 37 white 6.64574 1.89605593538981
186 7 84 8 92 92 47 white 6.92882 1.97681978022728
187 2 14 3 17 NA 59 white 1.60859 0.458937096110997
188 3 14 2 17 10 60 white 1.67998 0.479304945775215
189 3 10 6 NA NA 22 white 1.87237 0.534194574531327
190 5 53 7 68 79 43 white 1.66679 0.475541786550239
191 5 62 5 68 62 51 white 8.02582 2.28979822372983
192 3 17 8 96 96 58 white 1.61114 0.459664621207562
193 5 61 7 61 61 60 white 6.38239 1.82092113767204
194 0 8 3 2 7 47 white 1.6885 0.481735735509619
195 1 16 5 17 49 47 white 3.5472 1.01203020491544
196 3 14 3 17 17 62 white 1.66942 0.476292135963559
197 4 16 7 42 50 32 white 1.84122 0.52530735619486
198 3 NA 3 23 23 53 white 3.262 0.930661515683967
199 3 39 4 28 24 62 white 1.91589 0.546611002846032
200 2 10 7 39 54 52 white 1.66359 0.47462881388004
201 5 33 6 11 11 28 white 1.68487 0.480700082136862
202 8 84 5 48 44 40 white 1.57526 0.449427915142957
203 2 39 2 5 7 60 white 1.56877 0.44757629244621
204 2 7 4 61 61 36 white 2.85046 0.813247524217204
205 2 14 7 51 85 47 white 1.65511 0.472209436304013
206 0 15 5 44 18 36 white 1.56617 0.446834502151673
207 5 15 5 42 44 45 white 1.58795 0.453048422388214
208 3 11 1 26 58 59 white 1.58878 0.453285224674547
209 0 14 3 12 12 57 white 1.63628 0.466837162747812
210 6 44 5 11 3 52 negro 2.24758 0.641243473151738
211 0 17 5 18 7 31 white 1.7096 0.487755649053743
212 3 79 5 39 44 35 white 1.5918 0.454146842632047
213 0 32 3 28 44 49 white 1.6885 0.481735735509619
214 NA 27 6 39 26 48 negro 2.22513 0.634838399262374
215 NA NA 0 16 NA 54 white 3.53937 1.00979627491305
216 1 11 3 17 15 23 negro 2.08619 0.595198267138177
217 0 7 2 22 22 53 white 1.85005 0.52782659015669
218 NA 61 5 22 84 61 white 1.68497 0.480728612532806
219 1 41 5 32 44 56 white 1.79284 0.511504350637291
220 7 96 8 48 79 47 white 1.73119 0.493915361537991
221 NA 22 6 31 46 38 white 1.69877 0.484665807173039
222 0 22 5 17 61 40 white 1.75641 0.501110727394996
223 3 65 5 44 50 28 white 1.69062 0.482340579903626
224 6 78 7 44 44 47 white 1.85005 0.52782659015669
225 2 10 5 61 44 23 white 1.90358 0.54309891110536
226 NA 14 3 22 33 43 negro 1.7316 0.49403233616136
227 2 14 1 7 7 38 negro 2.89719 0.826579778241702
228 3 29 8 60 60 32 white 1.89882 0.54174086425844
229 8 92 7 NA 79 33 white 1.89744 0.541347144794416
230 3 14 7 82 79 31 white 1.89882 0.54174086425844
231 5 14 5 44 44 30 white 1.89882 0.54174086425844
232 2 42 5 44 80 31 white 1.89744 0.541347144794416
233 0 6 5 19 39 39 white 1.75641 0.501110727394996
234 5 34 3 28 12 28 white 1.60362 0.457519135432594
235 2 27 6 28 16 29 white 1.71007 0.487889741914678
236 4 10 5 61 NA 31 white 1.73711 0.495604360977859
237 3 19 5 61 78 63 white 1.68497 0.480728612532806
238 8 52 8 44 44 59 white 1.68497 0.480728612532806
239 3 44 7 44 78 37 white 1.75641 0.501110727394996
240 5 17 4 28 33 45 white 1.95338 0.55730704828533
241 NA 54 4 39 72 41 white 1.71969 0.490634366004464
242 4 17 4 44 53 53 white 1.73222 0.494209224616211
243 1 18 6 32 24 27 negro 1.75481 0.500654241059896
